Nested Sampling Global Log-Evidence           :   -0.715787438041251090E+01  +/-    0.572992825397821356E-01
Nested Importance Sampling Global Log-Evidence:   -0.947857360678004568E+01  +/-    0.288984494089471466E-01

Dim No.       Mean        Sigma
   1    0.293182168837988755E+01    0.217119188509836608E+00
   2    0.366070285873001744E+01    0.184857611828866686E+01
   3    0.431270409516349851E+01    0.210114263312202176E+01
   4    0.458070924500578247E+01    0.175836876521252017E+01
   5    0.670566512784528523E+01    0.113434757706200373E+01
   6    0.206673856109791876E+01    0.290871151789679649E+00
   7    0.152136176112467467E+02    0.792537408314049480E-01
   8    0.151660110605838945E+02    0.765433245874021090E-01
   9    0.151396145935426834E+02    0.753317478447008970E-01
  10    0.150642130362123847E+02    0.692896567496021631E-01
  11    0.150039446795174118E+02    0.601515706971811961E-01
  12    0.149450806882043352E+02    0.486343504316932296E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.273087029007442883E+01
   2    0.350173529036561915E+01
   3    0.493689811503666753E+01
   4    0.187992115647999203E+01
   5    0.725418550693887720E+01
   6    0.207255441189259715E+01
   7    0.151834138622356480E+02
   8    0.151135209503265937E+02
   9    0.150865787473138404E+02
  10    0.150372918736550556E+02
  11    0.149930021998600580E+02
  12    0.149387450483287765E+02

MAP Parameters
Dim No.        Parameter
   1    0.295664278227190902E+01
   2    0.717319546306185618E+01
   3    0.321784621510460145E+01
   4    0.635832810518639313E+01
   5    0.713816268551825139E+01
   6    0.195837249564175631E+01
   7    0.152991041236434668E+02
   8    0.153242119940154797E+02
   9    0.151215899514427541E+02
  10    0.151397647495964982E+02
  11    0.150694214282758434E+02
  12    0.149517906824009241E+02
