Nested Sampling Global Log-Evidence           :   -0.731880537508426787E+01  +/-    0.575740483979088752E-01
Nested Importance Sampling Global Log-Evidence:   -0.112975032152115791E+02  +/-    0.225168589016335047E-01

Dim No.       Mean        Sigma
   1    0.297913758924615513E+01    0.192652263543418995E+00
   2    0.363974602162456096E+01    0.193402620778782586E+01
   3    0.420995254110837447E+01    0.208622264542110258E+01
   4    0.482754760434301833E+01    0.168169564011587669E+01
   5    0.676186647680171671E+01    0.112735564743895544E+01
   6    0.187850827362732440E+08    0.796810501683593690E+08
   7    0.489815623489197236E+02    0.140872847295805514E+03
   8    0.741218550255354214E+00    0.477583359440383382E+00
   9    0.205127035620179443E+01    0.282892972182721580E+00
  10    0.152251052007434264E+02    0.772267226241226540E-01
  11    0.151784476830873434E+02    0.772154051643525186E-01
  12    0.151513302807033128E+02    0.778796624374177154E-01
  13    0.150742018638199173E+02    0.737611470683607745E-01
  14    0.150122209951644905E+02    0.636259840211521321E-01
  15    0.149510740738929222E+02    0.515808764704401637E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.285818365374337091E+01
   2    0.336065736272567550E+01
   3    0.523752500042823499E+01
   4    0.193473791169074971E+01
   5    0.605405666799323949E+01
   6    0.676853500010684820E+04
   7    0.609520877324772226E+00
   8    0.484100751924887648E-01
   9    0.192624598152842053E+01
  10    0.152399202756418664E+02
  11    0.151323448791844708E+02
  12    0.151216018462857917E+02
  13    0.150548420600923905E+02
  14    0.149982536028525431E+02
  15    0.149538169367264864E+02

MAP Parameters
Dim No.        Parameter
   1    0.311471790046761976E+01
   2    0.142771299835116960E+01
   3    0.363075712249152982E+01
   4    0.447620680208521904E+01
   5    0.612138277503993766E+01
   6    0.615557944959028646E+04
   7    0.132038897614895952E-01
   8    0.142676892823267543E+01
   9    0.204777388600945631E+01
  10    0.152734129960891192E+02
  11    0.152882205684148307E+02
  12    0.152626395583500170E+02
  13    0.151307070456785251E+02
  14    0.149842713466277431E+02
  15    0.148608501255681738E+02
