Nested Sampling Global Log-Evidence           :   -0.707285727920752283E+01  +/-    0.571042972398749724E-01
Nested Importance Sampling Global Log-Evidence:   -0.109879343715019449E+02  +/-    0.585277382479217345E-01

Dim No.       Mean        Sigma
   1    0.303436999973106092E+01    0.175972519328966986E+00
   2    0.365552561943425580E+01    0.198514033781193566E+01
   3    0.422344850751804834E+01    0.210158900810205340E+01
   4    0.485279743072821912E+01    0.157094157618470032E+01
   5    0.671662605410138891E+01    0.110503178005895220E+01
   6    0.195186458834969215E+08    0.800160312581289560E+08
   7    0.497759543173345165E+02    0.139749912660598483E+03
   8    0.750364744669307693E+00    0.481789900777349622E+00
   9    0.204239237800455342E+01    0.279574868502027007E+00
  10    0.152013577519211527E+02    0.752246783090360638E-01
  11    0.151597241072864986E+02    0.764099953379090979E-01
  12    0.151332615273036577E+02    0.767179378450725813E-01
  13    0.150557926859311504E+02    0.722452468164098693E-01
  14    0.149941412669560190E+02    0.627617854367660960E-01
  15    0.149350487311150459E+02    0.510560792454141515E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.250092345616934608E+01
   2    0.373633027368992332E+01
   3    0.833634973212255659E+00
   4    0.166133277792394685E+01
   5    0.792587537604389070E+01
   6    0.182784318149072293E+06
   7    0.850201210128940454E+00
   8    0.211067482086599645E+00
   9    0.233390839909039016E+01
  10    0.151201724600818466E+02
  11    0.150927031651011880E+02
  12    0.150547552312764079E+02
  13    0.149948591959312427E+02
  14    0.149443196945579047E+02
  15    0.149162445534190358E+02

MAP Parameters
Dim No.        Parameter
   1    0.320360098269603144E+01
   2    0.772952685363640701E+00
   3    0.401950879258458205E+01
   4    0.415036129089020456E+01
   5    0.766853804194432342E+01
   6    0.766540591171768901E+05
   7    0.353030083748330115E+00
   8    0.997881703004679155E+00
   9    0.168187551865248675E+01
  10    0.151591856974701749E+02
  11    0.150331730735374851E+02
  12    0.152995903738528973E+02
  13    0.150027547589223484E+02
  14    0.150062319105470650E+02
  15    0.148906443736744549E+02
