Nested Sampling Global Log-Evidence           :   -0.687086938854744389E+01  +/-    0.564211688773548214E-01
Nested Importance Sampling Global Log-Evidence:   -0.918404292709778503E+01  +/-    0.433508791182993444E-01

Dim No.       Mean        Sigma
   1    0.297934483894923829E+01    0.208146998811213541E+00
   2    0.380098568520741553E+01    0.192697369950117792E+01
   3    0.429025733463868519E+01    0.205828919387346554E+01
   4    0.454862593446877561E+01    0.168265893632712427E+01
   5    0.664156145149955712E+01    0.114318459557365837E+01
   6    0.205857053336814788E+01    0.282876716585129584E+00
   7    0.151858447499899043E+02    0.776784402361127002E-01
   8    0.151450319402506750E+02    0.755597006038247615E-01
   9    0.151185245748982648E+02    0.750525283840272756E-01
  10    0.150438253121675594E+02    0.674142756665949000E-01
  11    0.149840450428851657E+02    0.568339207560928095E-01
  12    0.149280498063333269E+02    0.471288751717496568E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.296958338591087800E+01
   2    0.350220555447189330E+01
   3    0.106394767621080244E+01
   4    0.174241908087778774E+01
   5    0.511989791207050349E+01
   6    0.170133510710733349E+01
   7    0.151598567845962915E+02
   8    0.150936036882386944E+02
   9    0.150874834006885052E+02
  10    0.150081227639612980E+02
  11    0.149718350518675027E+02
  12    0.149317181040810780E+02

MAP Parameters
Dim No.        Parameter
   1    0.308567220899954942E+01
   2    0.506991441107954577E+00
   3    0.432339823505820764E+01
   4    0.462852940314778305E+01
   5    0.551721036067477932E+01
   6    0.203488035283935220E+01
   7    0.152070523879028023E+02
   8    0.151540648965835576E+02
   9    0.151567912345262670E+02
  10    0.150263103364206270E+02
  11    0.149721327888454727E+02
  12    0.150017954564676348E+02
